fft, 64, 0.000005, 0.00
fft_simd, 64, 0.000005, 0.00
fft_task, 64, 0.006901, 0.00
fft_task_simd, 64, 0.000268, 0.00
fft_task_simd_2, 64, 0.000242, 0.00
fft_task_simd_3, 64, 0.000172, 0.00
fft_task_simd_4, 64, 0.000190, 0.00
fft_task_simd_5, 64, 0.000206, 0.00
fft_task_simd_6, 64, 0.000140, 0.00
fft_task_simd_7, 64, 0.000140, 0.00
fft, 128, 0.000016, 0.00
fft_simd, 128, 0.000014, 0.00
fft_task, 128, 0.000219, 0.00
fft_task_simd, 128, 0.000228, 0.00
fft_task_simd_2, 128, 0.000188, 0.00
fft_task_simd_3, 128, 0.000190, 0.00
fft_task_simd_4, 128, 0.000204, 0.00
fft_task_simd_5, 128, 0.000234, 0.00
fft_task_simd_6, 128, 0.000310, 0.00
fft_task_simd_7, 128, 0.000291, 0.00
fft, 256, 0.000031, 0.00
fft_simd, 256, 0.000030, 0.00
fft_task, 256, 0.000181, 0.00
fft_task_simd, 256, 0.000202, 0.00
fft_task_simd_2, 256, 0.000203, 0.00
fft_task_simd_3, 256, 0.000203, 0.00
fft_task_simd_4, 256, 0.000196, 0.00
fft_task_simd_5, 256, 0.000196, 0.00
fft_task_simd_6, 256, 0.000200, 0.00
fft_task_simd_7, 256, 0.000224, 0.00
fft, 512, 0.000072, 0.00
fft_simd, 512, 0.000148, 0.00
fft_task, 512, 0.000203, 0.00
fft_task_simd, 512, 0.000217, 0.00
fft_task_simd_2, 512, 0.000201, 0.00
fft_task_simd_3, 512, 0.000194, 0.00
fft_task_simd_4, 512, 0.000190, 0.00
fft_task_simd_5, 512, 0.000201, 0.00
fft_task_simd_6, 512, 0.000211, 0.00
fft_task_simd_7, 512, 0.000236, 0.00
fft, 1024, 0.000121, 0.00
fft_simd, 1024, 0.000151, 0.00
fft_task, 1024, 0.000194, 0.00
fft_task_simd, 1024, 0.000229, 0.00
fft_task_simd_2, 1024, 0.000220, 0.00
fft_task_simd_3, 1024, 0.000128, 0.00
fft_task_simd_4, 1024, 0.000174, 0.00
fft_task_simd_5, 1024, 0.000127, 0.00
fft_task_simd_6, 1024, 0.000260, 0.00
fft_task_simd_7, 1024, 0.000163, 0.00
fft, 2048, 0.000259, 0.00
fft_simd, 2048, 0.000285, 0.00
fft_task, 2048, 0.000236, 0.00
fft_task_simd, 2048, 0.000214, 0.00
fft_task_simd_2, 2048, 0.000158, 0.00
fft_task_simd_3, 2048, 0.000191, 0.00
fft_task_simd_4, 2048, 0.000199, 0.00
fft_task_simd_5, 2048, 0.000211, 0.00
fft_task_simd_6, 2048, 0.000204, 0.00
fft_task_simd_7, 2048, 0.000243, 0.00
fft, 4096, 0.000739, 0.00
fft_simd, 4096, 0.000598, 0.00
fft_task, 4096, 0.000245, 0.00
fft_task_simd, 4096, 0.000217, 0.00
fft_task_simd_2, 4096, 0.000268, 0.00
fft_task_simd_3, 4096, 0.000273, 0.00
fft_task_simd_4, 4096, 0.000227, 0.00
fft_task_simd_5, 4096, 0.000306, 0.00
fft_task_simd_6, 4096, 0.000292, 0.00
fft_task_simd_7, 4096, 0.000264, 0.00
fft, 8192, 0.001395, 0.00
fft_simd, 8192, 0.001255, 0.00
fft_task, 8192, 0.000525, 0.00
fft_task_simd, 8192, 0.000613, 0.00
fft_task_simd_2, 8192, 0.000696, 0.00
fft_task_simd_3, 8192, 0.000707, 0.00
fft_task_simd_4, 8192, 0.000623, 0.00
fft_task_simd_5, 8192, 0.000501, 0.00
fft_task_simd_6, 8192, 0.000510, 0.00
fft_task_simd_7, 8192, 0.036993, 0.00
fft, 16384, 0.004508, 0.00
fft_simd, 16384, 0.004407, 0.00
fft_task, 16384, 0.002775, 0.00
fft_task_simd, 16384, 0.001009, 0.00
fft_task_simd_2, 16384, 0.001720, 0.00
fft_task_simd_3, 16384, 0.002542, 0.00
fft_task_simd_4, 16384, 0.004551, 0.00
fft_task_simd_5, 16384, 0.002749, 0.00
fft_task_simd_6, 16384, 0.004430, 0.00
fft_task_simd_7, 16384, 0.001245, 0.00
fft, 32768, 0.009838, 0.00
fft_simd, 32768, 0.009156, 0.00
fft_task, 32768, 0.002122, 0.00
fft_task_simd, 32768, 0.002040, 0.00
fft_task_simd_2, 32768, 0.002922, 0.00
fft_task_simd_3, 32768, 0.003051, 0.00
fft_task_simd_4, 32768, 0.002076, 0.00
fft_task_simd_5, 32768, 0.002532, 0.00
fft_task_simd_6, 32768, 0.001824, 0.00
fft_task_simd_7, 32768, 0.001851, 0.00
fft, 65536, 0.023265, 0.00
fft_simd, 65536, 0.023283, 0.00
fft_task, 65536, 0.004870, 0.00
fft_task_simd, 65536, 0.004835, 0.00
fft_task_simd_2, 65536, 0.019554, 0.00
fft_task_simd_3, 65536, 0.006961, 0.00
fft_task_simd_4, 65536, 0.013503, 0.00
fft_task_simd_5, 65536, 0.013238, 0.00
fft_task_simd_6, 65536, 0.008732, 0.00
fft_task_simd_7, 65536, 0.059056, 0.00
fft, 131072, 0.055387, 0.00
fft_simd, 131072, 0.050025, 0.00
fft_task, 131072, 0.012890, 0.00
fft_task_simd, 131072, 0.014086, 0.00
fft_task_simd_2, 131072, 0.025798, 0.00
fft_task_simd_3, 131072, 0.023568, 0.00
fft_task_simd_4, 131072, 0.022703, 0.00
fft_task_simd_5, 131072, 0.014183, 0.00
fft_task_simd_6, 131072, 0.013388, 0.00
fft_task_simd_7, 131072, 0.013576, 0.00
fft, 262144, 0.138107, 0.00
fft_simd, 262144, 0.122645, 0.00
fft_task, 262144, 0.034754, 0.00
fft_task_simd, 262144, 0.035980, 0.00
fft_task_simd_2, 262144, 0.054471, 0.00
fft_task_simd_3, 262144, 0.036608, 0.00
fft_task_simd_4, 262144, 0.029694, 0.00
fft_task_simd_5, 262144, 0.029245, 0.00
fft_task_simd_6, 262144, 0.028270, 0.00
fft_task_simd_7, 262144, 0.033563, 0.00
fft, 524288, 0.258972, 0.00
fft_simd, 524288, 0.241216, 0.00
fft_task, 524288, 0.089038, 0.00
fft_task_simd, 524288, 0.050927, 0.00
fft_task_simd_2, 524288, 0.135679, 0.00
fft_task_simd_3, 524288, 0.057643, 0.00
fft_task_simd_4, 524288, 0.062903, 0.00
fft_task_simd_5, 524288, 0.053040, 0.00
fft_task_simd_6, 524288, 0.047809, 0.00
fft_task_simd_7, 524288, 0.043946, 0.00
fft, 1048576, 0.298965, 0.00
fft_simd, 1048576, 0.265115, 0.00
fft_task, 1048576, 0.077522, 0.00
fft_task_simd, 1048576, 0.079095, 0.00
fft_task_simd_2, 1048576, 0.121919, 0.00
fft_task_simd_3, 1048576, 0.080046, 0.00
fft_task_simd_4, 1048576, 0.073212, 0.00
fft_task_simd_5, 1048576, 0.066085, 0.00
fft_task_simd_6, 1048576, 0.061119, 0.00
fft_task_simd_7, 1048576, 0.060970, 0.00
fft, 2097152, 0.547835, 0.00
fft_simd, 2097152, 0.524890, 0.00
fft_task, 2097152, 0.146858, 0.00
fft_task_simd, 2097152, 0.154572, 0.00
fft_task_simd_2, 2097152, 0.283637, 0.00
fft_task_simd_3, 2097152, 0.152824, 0.00
fft_task_simd_4, 2097152, 0.116497, 0.00
fft_task_simd_5, 2097152, 0.133850, 0.00
fft_task_simd_6, 2097152, 0.120580, 0.00
fft_task_simd_7, 2097152, 0.127031, 0.00
fft, 4194304, 1.112967, 0.00
fft_simd, 4194304, 1.110746, 0.00
fft_task, 4194304, 0.233552, 0.00
fft_task_simd, 4194304, 0.231285, 0.00
fft_task_simd_2, 4194304, 0.493678, 0.00
fft_task_simd_3, 4194304, 0.306365, 0.00
fft_task_simd_4, 4194304, 0.234230, 0.00
fft_task_simd_5, 4194304, 0.274049, 0.00
fft_task_simd_6, 4194304, 0.251111, 0.00
fft_task_simd_7, 4194304, 0.251263, 0.00
